,Star_name,Distance,Mass,Radius,gravity
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,823.631743683975
135,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167,1668.3840275505147
136,2MASS J04351612-1606574,34,0.0954588,0.12948138,1560.6946516225482
137,2MASS J04362788-4114465,142,0.037228932,0.20244311,248.99532151748912
138,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,1264.0283110635135
139,2MASS J04433764+0002040,82,0.021000936,0.18291814,172.04486250521106
140,2MASS J04455387-3048204 [de],42,0.061093632,0.102763,1585.765650506213
141,2MASS J04510093-3402150 [de],69,0.000992772,7.398936,0.0049708148687804595
142,2MASS J05002100+0330501 [de],44,0.061093632,0.102763,1585.765650506213
143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,273.2248236044692
144,2MASS J05160945-0445499 [de],73,0.044865636,0.09968011,1237.694387916357
145,2MASS J0523−1403,40,0.064911984,0.10379063,1651.6772901312145
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1481.6516867353537
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,348.96256329986824
148,2MASS J06085283-2753583,102,0.036274344,0.15517213,412.9416933415482
149,2MASS J06244595-4521548 [de],39,0.053456928,0.10173537,1415.7177269594285
150,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063,1627.3879182175199
151,DENIS-P J0652197-253450 [de],51,0.0715941,0.10790115,1685.550223752352
152,2MASS J07075327-4900503,60,0.068730336,0.10584589,1681.5782418884814
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,670.7801910851196
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,1149.7070165861733
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,1037.5404783826443
156,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659722,1205.7902856879382
157,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589,1658.2229885289191
158,2MASS J07522390+1612157,60,0.001918722,6.987884,0.010770535375425765
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,1233.8319202388204
160,2MASS J08251968+2115521 [de],35,0.049638576,0.10070774,1341.560382170239
161,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173537,1213.472337393796
162,LHS 2021,55,0.084003744,0.11817745,1648.7166498646827
163,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865248,1236.7285821412115
164,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,1536.210473927894
165,2MASSI J0847287-153237 [de],43,0.061093632,0.102763,1585.765650506213
166,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,1666.4113007819785
167,2MASSI J0859254-194926 [de],50,0.0477294,0.10070774,1289.9619059329223
168,2MASSI J0937347+293142,20,0.040092696,0.09659722,1177.7486511370555
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,878.5405265962398
